bitcoin_price,bitcoin_market_cap,bitcoin_volume,date,ethereum_price,ethereum_market_cap,ethereum_volume
53956.26184159744,1064889039013.8289,120245972389.37173,2024-08-06,2415.6311394312143,291245061884.5607,73571034926.63428
55959.84107399357,1104019419316.6865,52620100833.47091,2024-08-07,2455.51137665051,295168597349.07764,27613148149.796356
55099.95181146735,1088566703585.4303,41605918903.41173,2024-08-08,2341.590346028249,282098261495.40393,24968091142.09198
61859.03159904161,1218342891278.6091,49201548320.290726,2024-08-09,2685.012750687489,322827381254.3183,24290512619.839314
60912.588533350805,1198300504959.2505,33804208928.47938,2024-08-10,2602.1840712761878,312353537574.9063,18077335701.97768
60887.70861641504,1201818989571.278,13418919090.197285,2024-08-11,2608.0357436286963,313697482213.2365,8849019546.648287
58804.23449992608,1159146815397.6223,21715994493.456894,2024-08-12,2558.790870730736,307740266021.366,12624674028.077477
59350.07433270696,1171441797233.8909,39403296385.84335,2024-08-13,2726.777988551933,328070186437.41003,22670968464.846756
60601.22317789727,1195798013190.8457,31955576195.246292,2024-08-14,2703.5505587641255,325002180894.27686,16366799383.61909
58739.19382231015,1159479277227.7532,28079911397.67297,2024-08-15,2662.780395092489,320231285058.06165,15887432311.728333
57624.11692852191,1137141836825.8655,33490251842.381626,2024-08-16,2569.8604812159274,309002097789.9878,15498476343.410463
58881.92579151217,1162716063850.1133,30368238897.207172,2024-08-17,2592.249006212312,311786461030.44476,12841847017.271076
59430.79163445865,1173270497431.1711,12467437134.05582,2024-08-18,2613.139261446099,314212508914.4149,5483825246.098839
58438.293742685404,1156217205294.1643,17656027563.72502,2024-08-19,2614.6012806263716,314682052511.7037,8617702421.12827
59574.945812940874,1176063402361.815,24031330179.258953,2024-08-20,2640.5904207330605,317616756579.9527,11730843561.162947
59060.12610074137,1166088863323.0896,31470716090.619144,2024-08-21,2575.643435503567,309867213669.31934,12823659998.035198
61144.68762866613,1207099049402.5117,32960965010.60808,2024-08-22,2630.2988017642488,316360729845.1586,11246256658.90509
60387.54062321362,1192308382713.8381,28170302505.847404,2024-08-23,2623.289171364539,315630604929.4857,10277172867.663338
64049.68561555576,1261916434075.0183,45038665759.42134,2024-08-24,2763.2554073640704,332181161792.2442,17876365362.452858
64157.1606134782,1264961887998.9824,22029153446.354362,2024-08-25,2767.840733546234,332950073030.8183,11990449014.147696
64265.81631272862,1269291077270.1143,17875230147.044323,2024-08-26,2745.164671605207,330332547375.3104,8312216650.941433
62922.58634676265,1242487823611.2612,17894692681.091812,2024-08-27,2683.0801154902983,322816645099.5817,11486270160.014797
59526.560879590994,1176762244308.0742,38131727427.91789,2024-08-28,2457.2773517547434,295636169778.93835,17505948780.2572
59015.29633887944,1166032395735.947,42018989572.42786,2024-08-29,2527.0269814017706,303958449107.31573,21234602056.030586
59351.5794909728,1171762256043.917,32563333956.986053,2024-08-30,2526.7383553003406,304106394048.1237,13272715023.256615
59156.246036463555,1168247205700.9673,44038496614.947586,2024-08-31,2527.690204915795,304009556580.61725,15607580785.925383
58960.23658664587,1164278309271.2642,11399086336.303324,2024-09-01,2513.3643501004462,302383496015.1365,6105765553.728281
57357.71617282246,1133133027660.6194,25465621877.97047,2024-09-02,2430.0202661439344,292436067877.0585,11229587557.968822
59108.73235863689,1168410293915.9832,28012782290.96625,2024-09-03,2534.9048168403706,304838837601.64795,12130504179.053215
57504.538586220435,1137361604370.578,26829983370.35861,2024-09-04,2437.1471557556497,293818299349.5953,9565142020.243557
57504.538586220435,1137361604370.578,26829983370.35861,2024-09-04,2337.373103335752,281296445856.04266,10957020589.264566
56140.1547384201,1108384462443.1653,28193839549.2559,2024-09-04,2437.1471557556497,293818299349.5953,9565142020.243557
56140.1547384201,1108384462443.1653,28193839549.2559,2024-09-04,2337.373103335752,281296445856.04266,10957020589.264566
